BASE_ID,avg_SAND,avg_SILT,avg_CLAY,LPSA_texture_status,lab_texture_class
250370,53.45,13.7,32.85,ALL_CLASS_AGREE,SCL
250371,60.95,12.649999999999997,26.4,ALL_CLASS_AGREE,SCL
250372,58,10.649999999999999,31.35,ALL_CLASS_AGREE,SCL
250373,59.05,10.75,30.2,ALL_CLASS_AGREE,SCL
250374,86.4,8.610000000000001,4.99,ALL_CLASS_AGREE,LS
250375,72.44999999999999,14.300000000000004,13.25,ALL_CLASS_AGREE,SL
250376,74,14.35,11.65,ALL_CLASS_AGREE,SL
250377,75.1,13.599999999999998,11.3,ALL_CLASS_AGREE,SL
250378,83.15,10.409999999999995,6.4399999999999995,ALL_CLASS_AGREE,LS
250379,85,9.295,5.705,ALL_CLASS_AGREE,LS
250380,67.55,15.950000000000003,16.5,ALL_CLASS_AGREE,SL
250381,49.7,14.450000000000003,35.849999999999994,ALL_CLASS_AGREE,SC
250382,47.4,10.8,41.8,ALL_CLASS_AGREE,SC
250383,50.55,9,40.45,ALL_CLASS_AGREE,SC
250385,65.95,12.849999999999996,21.200000000000003,ALL_CLASS_AGREE,SCL
250386,56.7,12.3,31,ALL_CLASS_AGREE,SCL
250387,44.15,8.100000000000001,47.75,ALL_CLASS_AGREE,C
250389,89.75,6.4,3.85,ALL_CLASS_AGREE,S
250390,75.25,16.085,8.665,ALL_CLASS_AGREE,SL
250391,76.4,11.600000000000001,12,ALL_CLASS_AGREE,SL
250393,42.650000000000006,12.75,44.599999999999994,ALL_CLASS_AGREE,C
250395,85.80000000000001,9.199999999999996,5,ALL_CLASS_AGREE,LS
250396,84.25,9.485,6.265000000000001,ALL_CLASS_AGREE,LS
250397,63.25,15.25,21.5,ALL_CLASS_AGREE,SCL
250398,80.35,11.579999999999998,8.07,ALL_CLASS_AGREE,LS
250399,80.05,11.370000000000003,8.58,ALL_CLASS_AGREE,LS
250400,82.69999999999999,10.210000000000004,7.09,ALL_CLASS_AGREE,LS
250401,83.45,9.234999999999996,7.3149999999999995,ALL_CLASS_AGREE,LS
250402,83.19999999999999,10.650000000000004,6.15,ALL_CLASS_AGREE,LS
250403,60.15,13.100000000000001,26.75,ALL_CLASS_AGREE,SCL
250405,36.05,6.699999999999996,57.25,ALL_CLASS_AGREE,C
